"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23092","Failed test","webkit","Fri Mar 28 22:58:50 UTC 2025","failed","Fri Mar 28 22:59:13 UTC 2025","","Login.test.ts","",""
"","29969","User can log in and see Deposit button","iPhone 14 - Safari","Fri Mar 28 22:58:21 UTC 2025","passed","Fri Mar 28 22:58:51 UTC 2025","","Login.test.ts","",""
"","81","GET /pet/{petId} returns valid pet","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:59:18 UTC 2025","passed","Fri Mar 28 22:59:18 UTC 2025","","api/swagger.test.ts","",""
"","42","GET /pet/{petId} returns valid pet","firefox","Fri Mar 28 22:57:04 UTC 2025","passed","Fri Mar 28 22:57:04 UTC 2025","","api/swagger.test.ts","",""
"","13995","Failed test","firefox","Fri Mar 28 22:57:59 UTC 2025","failed","Fri Mar 28 22:58:13 UTC 2025","","Login.test.ts","",""
"","32534","Failed test","iPhone 14 - Safari","Fri Mar 28 23:00:01 UTC 2025","failed","Fri Mar 28 23:00:33 UTC 2025","","Login.test.ts","",""
"","10295","DELETE /pet/{petId} deletes existing pet","chromium","Fri Mar 28 22:56:53 UTC 2025","passed","Fri Mar 28 22:57:03 UTC 2025","","api/swagger.test.ts","",""
"","175","GET /pet/{petId} returns valid pet","chromium","Fri Mar 28 22:56:41 UTC 2025","passed","Fri Mar 28 22:56:42 UTC 2025","","api/swagger.test.ts","",""
"","47","PUT /pet updates an existing pet","iPhone 14 - Safari","Fri Mar 28 22:58:16 UTC 2025","passed","Fri Mar 28 22:58:16 UTC 2025","","api/swagger.test.ts","",""
"","312","POST /pet creates a new pet","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:59:18 UTC 2025","passed","Fri Mar 28 22:59:18 UTC 2025","","api/swagger.test.ts","",""
"","22658","User can log in and see Deposit button","webkit","Fri Mar 28 22:57:34 UTC 2025","passed","Fri Mar 28 22:57:57 UTC 2025","","Login.test.ts","",""
"","12668","Failed test","OnePlus 9 - Edge","Fri Mar 28 23:02:01 UTC 2025","failed","Fri Mar 28 23:02:13 UTC 2025","","Login.test.ts","",""
